Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2340.0,20.0,013,1.0
5535.0,34.0,001,1.0
2639.0,23.0,005,1.0
2276.0,18.0,028,1.0
4249.0,6.0,016,1.0
2637.0,1.0,020,1.0
6051.0,20.0,002,1.0
5016.0,37.0,009,1.0
5523.0,19.0,028,1.0
2673.0,8.0,043,1.0
2414.0,9.0,017,1.0
4223.0,5.0,022,1.0
2242.0,12.0,016,1.0
6034.0,4.0,009,1.0
2265.0,17.0,001,1.0
5082.0,2.0,004,1.0
2787.0,32.0,026,1.0
6006.0,24.0,023,1.0
5445.0,27.0,039,1.0
4254.0,3.0,020,1.0
2679.0,10.0,008,1.0
2631.0,31.0,007,1.0
4327.0,18.0,022,1.0
4223.0,1.0,022,1.0
4127.0,6.0,022,1.0
2022.0,15.0,023,1.0
5054.0,26.0,008,1.0
4326.0,28.0,017,1.0
2362.0,9.0,009,1.0
2712.0,13.0,005,1.0
2202.0,4.0,003,1.0
5539.0,24.0,012,2.0
4256.0,17.0,005,1.0
4325.0,19.0,045,1.0
2822.0,6.0,020,1.0
4368.0,14.0,005,1.0
2305.0,7.0,017,1.0
2136.0,10.0,012,1.0
2357.0,15.0,029,1.0
5515.0,20.0,007,1.0
2650.0,34.0,009,1.0
4254.0,4.0,012,1.0
4392.0,9.0,015,1.0
5072.0,26.0,008,1.0
5002.0,14.0,003,1.0
2104.0,28.0,008,1.0
2615.0,13.0,012,1.0
2249.0,8.0,013,1.0
4235.0,26.0,008,1.0
2022.0,23.0,069,1.0
2615.0,18.0,005,1.0
5015.0,20.0,001,1.0
4259.0,6.0,019,1.0
5015.0,16.0,027,1.0
2423.0,35.0,004,1.0
7349.0,26.0,031,1.0
4257.0,22.0,053,1.0
2634.0,8.0,004,1.0
5523.0,8.0,002,1.0
2604.0,16.0,013,1.0
4257.0,8.0,009,1.0
5045.0,15.0,020,1.0
5511.0,31.0,002,1.0
5190.0,16.0,030,1.0
5078.0,29.0,021,1.0
2023.0,5.0,007,1.0
4223.0,12.0,018,1.0
4315.0,15.0,026,1.0
2618.0,8.0,010,1.0
2621.0,16.0,012,1.0
2238.0,4.0,026,1.0
7456.0,25.0,026,1.0
2682.0,12.0,006,1.0
2408.0,17.0,010,1.0
2201.0,22.0,002,1.0
2531.0,8.0,055,1.0
2559.0,9.0,009,1.0
2535.0,26.0,015,1.0
5075.0,11.0,017,1.0
4255.0,25.0,007,1.0
4248.0,32.0,011,1.0
5522.0,26.0,011,1.0
2213.0,12.0,017,1.0
5440.0,26.0,013,1.0
6069.0,18.0,018,1.0
2329.0,17.0,011,1.0
4259.0,8.0,020,1.0
2622.0,3.0,018,1.0
2263.0,17.0,032,1.0
5116.0,11.0,016,1.0
5466.0,14.0,036,1.0
5110.0,6.0,019,1.0
2244.0,17.0,001,1.0
7349.0,27.0,028,1.0
2604.0,28.0,020,1.0
5113.0,19.0,014,1.0
2340.0,30.0,016,1.0
2153.0,27.0,019,1.0
2692.0,5.0,008,1.0
2415.0,10.0,018,1.0
5514.0,3.0,047,1.0
2220.0,16.0,016,1.0
4303.0,4.0,004,1.0
5220.0,18.0,015,1.0
4321.0,5.0,059,1.0
2218.0,2.0,017,1.0
4312.0,2.0,023,1.0
2156.0,23.0,018,1.0
2034.0,31.0,040,1.0
2248.0,24.0,001,1.0
2511.0,20.0,027,1.0
2245.0,13.0,022,1.0
6023.0,6.0,007,1.0
2136.0,3.0,021,1.0
4256.0,16.0,028,1.0
5453.0,3.0,035,1.0
2779.0,43.0,031,1.0
4255.0,15.0,014,1.0
2103.0,10.0,015,1.0
4312.0,6.0,011,1.0
5092.0,12.0,015,1.0
2649.0,3.0,027,1.0
5047.0,6.0,012,1.0
2210.0,20.0,031,2.0
2617.0,13.0,014,1.0
5015.0,20.0,001,1.0
2132.0,10.0,012,1.0
5420.0,38.0,014,1.0
5690.0,13.0,007,1.0
2042.0,9.0,027,1.0
2354.0,11.0,010,1.0
4223.0,28.0,028,1.0
5691.0,1.0,039,1.0
5029.0,1.0,007,1.0
2103.0,13.0,028,1.0
4106.0,19.0,047,1.0
2330.0,3.0,014,1.0
5523.0,13.0,012,1.0
6058.0,26.0,008,1.0
2410.0,8.0,003,1.0
2210.0,3.0,055,1.0
4352.0,3.0,030,1.0
2368.0,14.0,023,1.0
5014.0,9.0,034,1.0
2125.0,28.0,027,1.0
2220.0,14.0,005,1.0
5560.0,30.0,005,1.0
2331.0,25.0,015,1.0
5020.0,9.0,009,1.0
5021.0,10.0,017,1.0
4306.0,2.0,019,1.0
5109.0,18.0,003,1.0
4008.0,3.0,008,1.0
4247.0,10.0,018,1.0
4230.0,28.0,008,1.0
5469.0,14.0,001,1.0
5052.0,20.0,024,1.0
2533.0,24.0,008,1.0
2203.0,5.0,016,1.0
5083.0,22.0,004,1.0
2322.0,8.0,036,1.0
5124.0,13.0,019,1.0
2217.0,12.0,046,1.0
2340.0,15.0,046,1.0
2245.0,23.0,006,1.0
5085.0,22.0,002,1.0
5477.0,22.0,001,1.0
2264.0,22.0,021,1.0
2340.0,22.0,001,1.0
6108.0,3.0,051,1.0
5063.0,11.0,034,1.0
2287.0,1.0,044,1.0
4019.0,4.0,035,1.0
5515.0,21.0,019,1.0
2358.0,25.0,001,1.0
2369.0,20.0,006,1.0
6015.0,19.0,012,1.0
2261.0,38.0,005,1.0
6119.0,16.0,014,1.0
4006.0,19.0,033,1.0
5430.0,4.0,030,1.0
2324.0,27.0,006,1.0
7421.0,20.0,027,1.0
4108.0,8.0,015,1.0
6037.0,4.0,021,1.0
5514.0,7.0,043,1.0
2610.0,25.0,014,1.0
2225.0,23.0,035,1.0
4007.0,9.0,017,1.0
4257.0,2.0,011,1.0
4236.0,23.0,034,1.0
7347.0,2.0,003,1.0
4305.0,11.0,008,1.0
2334.0,13.0,025,1.0
4236.0,25.0,011,1.0
2324.0,26.0,007,1.0
6031.0,13.0,020,1.0
2340.0,28.0,027,1.0
4008.0,13.0,004,1.0
2414.0,5.0,006,1.0
2617.0,1.0,034,1.0
2129.0,10.0,024,1.0
2728.0,1.0,015,1.0
5493.0,29.0,002,1.0
2617.0,13.0,008,1.0
5046.0,29.0,007,1.0
5066.0,13.0,008,1.0
2555.0,25.0,027,1.0
2026.0,18.0,005,1.0
5436.0,6.0,001,1.0
5022.0,23.0,020,1.0
2615.0,21.0,015,1.0
2627.0,33.0,012,1.0
2123.0,14.0,011,1.0
2616.0,3.0,005,1.0
4318.0,13.0,029,1.0
2125.0,8.0,008,1.0
2694.0,13.0,017,1.0
5101.0,30.0,028,1.0
5440.0,15.0,010,2.0
2766.0,6.0,008,1.0
2531.0,29.0,008,1.0
2151.0,35.0,034,1.0
6072.0,19.0,030,1.0
2508.0,5.0,015,1.0
5006.0,26.0,013,1.0
4009.0,6.0,011,1.0
2615.0,5.0,023,1.0
2109.0,17.0,009,1.0
5477.0,14.0,029,1.0
2101.0,3.0,017,1.0
5054.0,34.0,017,1.0
5006.0,26.0,013,1.0
2649.0,2.0,016,1.0
5057.0,14.0,011,1.0
2616.0,4.0,003,1.0
5013.0,26.0,012,1.0
2156.0,24.0,022,1.0
4356.0,11.0,004,1.0
7425.0,29.0,005,1.0
2414.0,2.0,029,1.0
2414.0,8.0,011,1.0
2116.0,16.0,001,1.0
2114.0,2.0,022,1.0
2405.0,3.0,032,1.0
5551.0,28.0,008,1.0
2647.0,9.0,012,1.0
2528.0,31.0,014,1.0
5005.0,26.0,025,1.0
5018.0,14.0,011,1.0
4256.0,16.0,022,1.0
2156.0,24.0,034,1.0
5093.0,23.0,022,1.0
5034.0,14.0,022,1.0
2726.0,12.0,022,1.0
2201.0,19.0,001,1.0
2125.0,27.0,003,1.0
5587.0,17.0,022,1.0
2115.0,15.0,010,1.0
4004.0,12.0,013,1.0
6015.0,8.0,022,1.0
4214.0,7.0,011,1.0
2109.0,2.0,025,1.0
2104.0,23.0,002,1.0
5550.0,4.0,028,1.0
5481.0,6.0,012,1.0
2234.0,24.0,022,1.0
6051.0,26.0,023,1.0
2405.0,18.0,017,1.0
2645.0,20.0,025,1.0
5047.0,13.0,010,1.0
2246.0,28.0,001,1.0
4360.0,11.0,008,1.0
4107.0,31.0,022,1.0
6119.0,28.0,005,1.0
2013.0,26.0,010,1.0
4320.0,7.0,037,1.0
6037.0,4.0,021,1.0
5180.0,13.0,032,1.0
2386.0,31.0,003,1.0
5062.0,10.0,022,1.0
4113.0,5.0,034,1.0
5042.0,29.0,005,1.0
4254.0,16.0,006,1.0
2762.0,15.0,017,1.0
5042.0,17.0,020,1.0
2697.0,11.0,018,1.0
5124.0,3.0,012,1.0
5435.0,26.0,003,1.0
5549.0,28.0,012,1.0
4108.0,26.0,024,1.0
5690.0,16.0,028,1.0
4493.0,29.0,017,1.0
2708.0,17.0,024,1.0
2531.0,20.0,047,1.0
5526.0,39.0,017,1.0
4250.0,16.0,009,1.0
2611.0,28.0,009,1.0
5116.0,18.0,030,1.0
5440.0,15.0,010,2.0
5478.0,36.0,017,1.0
2266.0,24.0,027,1.0
2340.0,22.0,022,1.0
2341.0,21.0,003,1.0
2153.0,25.0,017,1.0
2678.0,5.0,012,1.0
2236.0,17.0,020,1.0
5048.0,17.0,019,1.0
4223.0,26.0,004,1.0
5514.0,10.0,021,1.0
2336.0,27.0,002,1.0
5066.0,4.0,004,1.0
5105.0,14.0,026,1.0
5514.0,3.0,054,1.0
2102.0,6.0,005,1.0
5307.0,8.0,019,1.0
2671.0,20.0,002,1.0
5033.0,19.0,047,1.0
5576.0,4.0,020,1.0
2762.0,17.0,024,1.0
4492.0,11.0,007,1.0
5063.0,10.0,038,1.0
5589.0,25.0,020,1.0
2504.0,1.0,009,1.0
2153.0,22.0,003,1.0
2121.0,18.0,060,1.0
2107.0,14.0,033,1.0
5006.0,8.0,020,1.0
7410.0,24.0,005,1.0
4012.0,6.0,019,1.0
2377.0,11.0,007,1.0
5042.0,3.0,015,1.0
5685.0,7.0,036,1.0
4264.0,25.0,021,1.0
5545.0,10.0,007,1.0
5479.0,10.0,013,1.0
6065.0,26.0,052,1.0
6055.0,23.0,029,1.0
2246.0,20.0,002,1.0
5511.0,22.0,026,1.0
2357.0,5.0,009,1.0
5055.0,20.0,010,1.0
2616.0,14.0,003,1.0
5423.0,17.0,007,1.0
5015.0,6.0,029,1.0
4246.0,26.0,015,1.0
2131.0,19.0,007,1.0
2784.0,6.0,030,1.0
5565.0,25.0,017,1.0
2763.0,20.0,028,1.0
5479.0,12.0,019,1.0
4106.0,24.0,008,1.0
2108.0,28.0,006,1.0
2135.0,37.0,011,1.0
2104.0,7.0,034,1.0
4256.0,2.0,037,1.0
2682.0,2.0,016,1.0
4109.0,27.0,006,1.0
2629.0,15.0,046,1.0
5059.0,015,013,1.0
4240.0,014,021,1.0
4250.0,013,006,1.0
6066.0,016,036,1.0
4254.0,010,013,1.0
4004.0,031,014,1.0
2544.0,004,011,1.0
5576.0,005,032,1.0
2339.0,001,035,1.0
